test,signal,step,goal_before,goal_after,rise_time,settling_time,overshoot_pct,ss_error,t_rise_start,t_rise_end,t_settled
TEST1,overall_speed,104,3.2622961454427006,13.043383098034555,,0.5242974758148193,39.4359546892238,7.718863277925534,2.632948160171509,,3.124540328979492
TEST1,overall_speed,108,3.2622961454427006,13.043383098034555,,0.42395997047424316,39.4359546892238,7.713253624976319,2.705090045928955,,3.124540328979492
TEST1,overall_speed,112,3.2622961454427006,13.043383098034555,,0.32503390312194824,39.4359546892238,7.613399315366246,2.8001832962036133,,3.124540328979492
TEST1,overall_speed,116,3.2622961454427006,13.043383098034555,,0.22524642944335938,39.4359546892238,8.424959875163172,2.902292490005493,,3.124540328979492
TEST1,overall_speed,120,3.2622961454427006,13.043383098034555,,0.12567758560180664,39.4359546892238,8.602657260803117,3.002103805541992,,3.124540328979492
TEST1,overall_speed,124,3.2622961454427006,13.043383098034555,,0.023945331573486328,79.39048174447451,9.238246511503268,3.1033923625946045,,3.124540328979492
TEST2,overall_speed,280,2.9934702676209444,14.903759392402215,,0.5740900039672852,78.10204930037656,11.436266341275347,441.43564772605896,,441.83429527282715
TEST2,overall_speed,284,2.9934702676209444,14.903759392402215,,0.4744436740875244,78.10204930037656,11.411957196535857,441.43564772605896,,441.83429527282715
TEST2,overall_speed,288,2.9934702676209444,14.903759392402215,,0.37456464767456055,78.10204930037656,11.355627878738563,441.4952244758606,,441.83429527282715
TEST2,overall_speed,292,2.9934702676209444,14.903759392402215,,0.274106502532959,78.10204930037656,11.25339678774557,441.5956754684448,,441.83429527282715
TEST2,overall_speed,296,2.9934702676209444,14.903759392402215,,0.17409205436706543,78.1764416538989,11.184877792082158,441.68624687194824,,441.83429527282715
TEST2,overall_speed,300,2.9934702676209444,14.903759392402215,,0.07428812980651855,91.08893893390544,11.184233225458245,,,441.83429527282715
TEST2,yaw,280,-2.7616706198529424,-2.7725483013253718,0.022234439849853516,0.5756931304931641,2332.4788835841196,0.2299578455104787,441.33191323280334,441.3541476726532,441.835898399353
TEST2,yaw,281,-2.7725483013253718,-2.778829100440215,0.0,0.4807703495025635,3939.6073609225605,0.22464632651124017,441.3621356487274,441.3621356487274,441.835898399353
TEST2,yaw,282,-2.7725483013253718,-2.778829100440215,0.0,0.4790458679199219,3939.6073609225605,0.2256998918542874,441.3621356487274,441.3621356487274,441.835898399353
TEST2,yaw,283,-2.7725483013253718,-2.778829100440215,0.0,0.4774913787841797,3939.6073609225605,0.2256998918542874,441.3621356487274,441.3621356487274,441.835898399353
TEST2,yaw,284,-2.7725483013253718,-2.816787934405441,0.0801849365234375,0.4760468006134033,473.51204271687857,0.18774105788906104,441.3621356487274,441.44232058525085,441.835898399353
TEST2,yaw,287,-2.816787934405441,-2.8229411681040695,0.0,0.37775182723999023,3304.388660462977,0.18588734054026013,441.4636170864105,441.4636170864105,441.835898399353
TEST2,yaw,288,-2.816787934405441,-2.8624089491429343,0.08863115310668945,0.37616777420043945,359.1743333489022,0.14742258150202003,441.4636170864105,441.5522482395172,441.835898399353
TEST2,yaw,290,-2.8624089491429343,-2.864719241388578,0.0,0.27874255180358887,6992.564841498623,0.15031391290185248,441.5640585422516,441.5640585422516,441.835898399353
TEST2,yaw,291,-2.8624089491429343,-2.864719241388578,0.0,0.27712249755859375,6992.564841498623,0.15031391290185248,441.5640585422516,441.5640585422516,441.835898399353
TEST2,yaw,292,-2.8624089491429343,-2.919035743401289,0.08366656303405762,0.2757096290588379,189.36650519682155,0.09599741088914149,441.573251247406,441.65691781044006,441.835898399353
TEST2,yaw,293,-2.909372197069828,-2.919035743401289,0.0,0.1807396411895752,1109.6566168770762,0.1003021626847942,441.65691781044006,441.65691781044006,441.835898399353
TEST2,yaw,296,-2.919035743401289,-2.9832038109184214,0.06891322135925293,0.17569518089294434,67.11143944518918,0.03613409516766186,441.6738657951355,441.74277901649475,441.835898399353
TEST2,yaw,298,-2.9832038109184214,-2.9907741126330807,0.0,0.0792074203491211,468.8559769225298,0.03371375518764008,441.76357793807983,441.76357793807983,441.835898399353
TEST2,yaw,299,-2.9832038109184214,-2.9907741126330807,0.0,0.0773777961730957,468.8559769225298,0.03371375518764008,441.76357793807983,441.76357793807983,441.835898399353
TEST2,yaw,300,-2.9832038109184214,-3.0262679246933297,0.0582890510559082,0.07248497009277344,0.0,-0.0017800568726089594,441.76357793807983,441.82186698913574,441.8324921131134
