group,metric,value
odometry_overview,n_samples,990.0
odometry_overview,duration_s,1267.2375445365906
odometry_overview,rate_hz,0.7812268538508523
odometry_x,min,1.247
odometry_x,max,2.11
odometry_x,mean,1.6606616161616161
odometry_x,std,0.2767487604407088
odometry_y,min,0.739
odometry_y,max,2.132
odometry_y,mean,1.5822010101010102
odometry_y,std,0.2818413247240582
odometry_yaw,min,-0.657
odometry_yaw,max,1.499
odometry_yaw,mean,0.45566666666666666
odometry_yaw,std,0.6161671506789027
navigation,path_length_m,4.886618230570564
navigation,net_displacement_m,0.9747045706264027
timing_odom,dt_mean_ms,1281.3321987225386
timing_odom,dt_std_ms,36843.3140447772
timing_odom,dt_max_ms,1159337.1312618256
control_overview,n_samples,653.0
control_overview,duration_s,1253.5186355113983
control_overview,rate_hz,0.5209336195736695
control_vx,min,-0.318
control_vx,max,-0.002
control_vx,mean,-0.16245788667687597
control_vx,std,0.08502425644243528
control_vy,min,-0.001
control_vy,max,0.262
control_vy,mean,0.08930474732006126
control_vy,std,0.08660360449373196
control_wz,min,0.316
control_wz,max,0.5
control_wz,mean,0.45053598774885145
control_wz,std,0.057904161250989156
timing_cmd,dt_mean_ms,1922.5745943426355
timing_cmd,dt_std_ms,46502.48100150359
timing_cmd,dt_max_ms,1188419.5029735565
state_counts,NAVIGATE,653.0
motor_overview,n_samples,486.0
motor_can_1,min,-5.199299149430426
motor_can_1,max,-2.6062992125984255
motor_can_1,mean,-3.87193831433331
motor_can_1,std,1.2469823750473694
motor_can_2,min,-4.468938420487357
motor_can_2,max,0.03851825777934792
motor_can_2,mean,-2.204929975476716
motor_can_2,std,2.1728637496574925
motor_can_3,min,-0.29542937711237016
motor_can_3,max,2.6062992125984255
motor_can_3,mean,1.2434903333053446
motor_can_3,std,1.342824051318684
motor_can_4,min,-9.681536845684207
motor_can_4,max,-4.873635308230922
motor_can_4,mean,-7.318265919042917
motor_can_4,std,2.270397257772773
